地区,地名,label,収集日,代替日
根上地区,赤井町,資源ごみA,20140504,20140511
根上地区,赤井町,燃えるごみ,20140505,
根上地区,赤井町,燃えるごみ,20140721,20140722
根上地区,赤井町,プラ,20140722,20140723
根上地区,赤井町,燃えるごみ,20140915,20140916
根上地区,赤井町,プラ,20140923,20140924
根上地区,赤井町,燃えるごみ,20141013,20141014
根上地区,赤井町,プラ,20141014,20141015
根上地区,赤井町,燃えるごみ,20141103,20141104
根上地区,赤井町,資源ごみA,20141102,20141109
根上地区,赤井町,燃えるごみ,20141124,20141125
根上地区,赤井町,プラ,20141125,20141126
根上地区,赤井町,プラ,20141223,20141224
根上地区,赤井町,燃えるごみ,20150112,20150113
根上地区,赤井町,プラ,20150113,20150114
根上地区,赤井町,燃えないごみ,20150101,20150115
根上地区,五間堂町,資源ごみA,20140504,20140511
根上地区,五間堂町,燃えるごみ,20140505,
根上地区,五間堂町,燃えるごみ,20140721,20140722
根上地区,五間堂町,プラ,20140722,20140723
根上地区,五間堂町,燃えるごみ,20140915,20140916
根上地区,五間堂町,プラ,20140923,20140924
根上地区,五間堂町,燃えるごみ,20141013,20141014
根上地区,五間堂町,プラ,20141014,20141015
根上地区,五間堂町,燃えるごみ,20141103,20141104
根上地区,五間堂町,資源ごみA,20141102,20141109
根上地区,五間堂町,燃えるごみ,20141124,20141125
根上地区,五間堂町,プラ,20141125,20141126
根上地区,五間堂町,プラ,20141223,20141224
根上地区,五間堂町,燃えるごみ,20150112,20150113
根上地区,五間堂町,プラ,20150113,20150114
根上地区,五間堂町,燃えないごみ,20150101,20150115
根上地区,中庄町,資源ごみA,20140504,20140511
根上地区,中庄町,燃えるごみ,20140505,
根上地区,中庄町,燃えるごみ,20140721,20140722
根上地区,中庄町,プラ,20140722,20140723
根上地区,中庄町,燃えるごみ,20140915,20140916
根上地区,中庄町,プラ,20140923,20140924
根上地区,中庄町,燃えるごみ,20141013,20141014
根上地区,中庄町,プラ,20141014,20141015
根上地区,中庄町,燃えるごみ,20141103,20141104
根上地区,中庄町,資源ごみA,20141102,20141109
