district,name,center,combustible,non-combustible,recyclableA,recyclableB,recyclableC,plastics,bottles
neagari,akai,nomibeautificationcenter,Mon Thu,Thu1,Sun1,,,Tue2 Tue4,
neagari,gogendo,nomibeautificationcenter,Mon Thu,Thu1,Sun1,,,Tue2 Tue4,
neagari,nakanosho,nomibeautificationcenter,Mon Thu,Thu1,Sun1,,,Tue2 Tue4,
neagari,nishitouda,nomibeautificationcenter,Mon Thu,Thu1,Sun1,,,Tue2 Tue4,
neagari,fukuoka,nomibeautificationcenter,Mon Thu,Thu1,Sun1,,,Tue2 Tue4,
neagari,nishifutakuchi,nomibeautificationcenter,Mon Thu,Fri1,Sun1,,,Tue2 Tue4,
neagari,nakanoe,nomibeautificationcenter,Mon Thu,Fri1,Sun1,,,Tue2 Tue4,
neagari,taisei,nomibeautificationcenter,Mon Thu,Thu2,Sat2,,,Tue2 Tue4,
neagari,fukushima,nomibeautificationcenter,Tue Fri,Fri2,Sat2,,,Wed2 Wed4,
neagari,yoshihara,nomibeautificationcenter,Tue Fri,Fri2,Sun1,,,Wed2 Wed4,
neagari,yoshiharagamaya,nomibeautificationcenter,Tue Fri,Sat3,Sun1,,,Wed2 Wed4,
neagari,oohama,nomibeautificationcenter,Tue Fri,Thu3,Sat2,,,Wed2 Wed4,
neagari,naka,nomibeautificationcenter,Tue Fri,Fri3,,Sat2,,Wed2 Wed4,Sun1
neagari,takasaka,nomibeautificationcenter,Wed Sat,Fri1,,Sat2,,Mon2 Mon4,Sun1
neagari,neagari,nomibeautificationcenter,Wed Sat,Fri1,,Sat2,,Mon2 Mon4,Sun1
neagari,shimonogo,nomibeautificationcenter,Wed Sat,Sat1,,Sat2,,Mon2 Mon4,Sun1
neagari,hamakaihatsu,nomibeautificationcenter,Wed Sat,Sat1,Sun1,,,Mon2 Mon4,
neagari,hama,nomibeautificationcenter,Wed Sat,Fri3,Sun1,,,Mon2 Mon4,
neagari,dourin,nomibeautificationcenter,Wed Sat,Sat3,Sun1,,,Mon2 Mon4,
neagari,yamaguchi,nomibeautificationcenter,Wed Sat,Sat3,Sun1,,,Mon2 Mon4,
terai,yoko,nomibeautificationcenter,Tue Fri,Sat4,,,Thu1,Wed1 Wed3,
terai,ekimae,nomibeautificationcenter,Tue Fri,Sat4,,,Thu1,Wed1 Wed3,
terai,sando,nomibeautificationcenter,Mon Thu,Wed4,,,Thu1,Wed1 Wed3,
