label,name,notice,furigana
vendors,1 sho bottles (1.8 liters). beer bottles,please consult a liquor shop in your area or a large-scale vendor,#
non-combustible,18 liter drums,please empty the contents,#
bulky garbage,aluminium wheels *without tires,please bring to Beautification Center,A
combustible,aluminium foil (cooking foil),,A
recyclableA,aluminium cans,please rinse with water.If there is a lid. put it to non-combustable garbage,A
small electric appliances,antennas (for TVs),,A
combustible,artificial teeth,,A
vendors,air conditioners (applicable to Electric Appliances Recycling Law),please consult a local electric shop or a large-scale retailer,A
combustible,activated carbon (refrigerator air freshners）,,A
small electric appliances,air cleaners,,A
non-combustible,air pumps (for bicycles),,A
combustible,artificial grass,,A
vendors,agricultural chemicals,please consult the vendors or an agricultural cooperative,A
vendors,agricultural equipment,please consult the vendors or an agricultural cooperative,A
non-combustible,ash trays (ceramic),,A
metals,ash trays (metal),,A
recyclableB,aluminium cans,please rinse with water,A
recyclableC,aluminium cans,please rinse with water,A
combustible,bags,,B
bulky garbage,box shelves,please bring to Beautification Center,B
non-combustible,burner liners （aluminium foil for ovens）,,B
bulky garbage,bicycle wheels,please bring to Beautification Center,B
bulky garbage,bicycles,please bring to Beautification Center,B
bulky garbage,bamboo or rattan blinds (sudare),please bring to Beautification Center,B
metals,binoculars (with metal bodies),,B
combustible,bamboo brooms,if not fitting to garbage bags please dispose as bulky garbage,B
non-combustible,batteries (dry-cells),,B
non-combustible,batteries (rechargeable and button cells),please use the vendors' collection system as much as possible,B
combustible,bathing powders. bathing salts,,B
combustible,bands (belts),please dispose of buckles as metals,B
metals,bats (metal),,B
bulky garbage,bats (wooden),please bring to Beautification Center,B
vendors,batteries (lead-acid batteries),please consult a car dealer or a gas station,B
recyclableA,binders. files (paper),please remove metal and plastic parts,B
metals,buckets (metal),,B
combustible,buckets （plastic）,,B
bulky garbage,beach parasols,please bring to Beautification Center,B
combustible,bath mats,,B
bulky garbage,bathtub lids,please bring to Beautification Center,B
small electric appliances,bedding dryers (futon dryers),,B
bulky garbage,beddings (futons),please bring to Beautification Center,B
bulky garbage,blinds. window shades,please bring to Beautification Center,B
combustible,blue tarps,,B
bulky garbage,baby bathtubs,please bring to Beautification Center,B
combustible,baby beddings (futons),if not fitting to garbage bag then dispose as bulky garbage,B
bulky garbage,baby beds,please bring to Beautification Center,B
bulky garbage,baby strollers,please bring to Beautification Center,B
bulky garbage,beds,please bring to Beautification Center,B
combustible,belts (bands),dispose buckles as metals,B
bulky garbage,boilers,if installed by mainteiners. please get them to collect,B
bulky garbage,bookshelves,please bring to Beautification Center,B
combustible,brooms,,B
bulky garbage,blankets,please bring to Beautification Center,B
bulky garbage,bathtubs,if installed by mainteiners. please get them to collect,B
bulky garbage,bicycle trailers. hand-pulled trailers,please bring to Beautification Center,B
bulky garbage,bricks,please bring to Beautification Center,B
non-combustible,broken bottles,please wrap in paper and bag,B
recyclableB,binders. files (paper),please remove metal and plastic parts,B
small electric appliances,clothing irons,,C
recyclableA,cardboards (paper boxes etc.),,C
bulky garbage,clothes cases,please bring to Beautification Center,C
vendors,clothing drying machines (applicable to Electric Appliances Recycling Law),please consult a local electric shop or a large-scale retailer,C
recyclableA,calendars,please remove metal and plastic parts,C
small electric appliances,cameras (digital cameras),please delete all data,C
recyclableA,cans from canned food,please rinse with water,C
small electric appliances,car navigation systems,please delete all data,C
small electric appliances,car stereos,,C
small electric appliances,car TVs （LCD TVs for cars）,,C
combustible,carbon. non-carbon paper,can not be recycled,C
bulky garbage,carpets (electric),please bring to Beautification Center,C
small electric appliances,cassette players,,C
combustible,cassettes,,C
metals,cauldrons,,C
combustible,curtains,please dispose non-flammable as non-combustible garbage,C
metals,chains (metal),,C
non-combustible,christmas trees,,C
metals,clips (metal),,C
bulky garbage,cooler-boxes,please bring to Beautification Center,C
combustible,crayons,,C
combustible,cushions,,C
small electric appliances,cellphones,please delete all data,C
non-combustible,cosmetics bottles,can not be recycled,C
plastics,cosmetics cases （plastic）,,C
combustible,carp streamers (koinobori),,C
small electric appliances,coffee makers,please dispose glass pot parts as non-combustible garbage,C
bulky garbage,concrete. concrete blocks,please bring to Beautification Center,C
small electric appliances,cord reels (drums),,C
non-combustible,cups (glass. ceramic),,C
metals,cups (metal),,C
combustible,cups (plastic),,C
bulky garbage,chairs,please bring to Beautification Center,C
metals,colanders (metal),,C
bulky garbage,carpets,please cut into pieces less than 80 cm or tie them and bring to Beautification Center,C
combustible,CDs. CD cases,,C
combustible,chessboards,if with legs then dispose as bulky garbage,C
bulky garbage,cupboards,please bring to Beautification Center,C
combustible,canvas shoes,,C
non-combustible,cement,,C
combustible,clothespins,,C
bulky garbage,cut branches,please cut into pieces less than 80 cm and bring to Beautification Center,C
recyclableA,cardboard boxes,please remove seals. vinyl taping etc.,C
bulky garbage,chests of drawers,please bring to Beautification Center,C
combustible,cigarette packs,,C
bulky garbage,chain saws,please remove fuel and bring to Beautification Center,C
bulky garbage,child seats,please bring to Beautification Center,C
small electric appliances,calculators,,C
non-combustible,cans from paints,please empty the contents,C
small electric appliances,clocks (standing type),plese remove batteries,C
small electric appliances,coaxial cables (cables for household electric appliances),,C
bulky garbage,corrugated sheets,for agricultural onese please consult the vendors or an agricultural cooperative,C
non-combustible,clay,,C
recyclableA,cans from seaweeds,please rinse with water,C
bulky garbage,chests of drawers for children,please bring to Beautification Center,C
combustible,cold packs. thermal packs,,C
bulky garbage,charcoal in oval briquet,please bring to Beautification Center,C
combustible,cutting boards,,C
small electric appliances,compact stereo systems,,C
recyclableA,calling cards,,C
combustible,chips of wood,,C
recyclableA,cores from wrapping papers,,C
bulky garbage,charcoal briquets,please bring to Beautification Center,C
combustible,candles,,C
recyclableB,cardboard (paper boxes etc.),,C
recyclableB,calendars,please remove metal and plastic parts,C
recyclableB,cans from canned food,please rinse with water,C
recyclableB,cans from powdered milk,,C
recyclableB,cardboard boxes,please remove seals. vinyl taping etc.,C
recyclableB,cores from toilet paper,,C
recyclableB,cans from seaweeds,please rinse with water,C
recyclableB,calling cards, ,C
recyclableB,cores from wrapping papers,,C
recyclableC,cans from canned food,please rinse with water,C
recyclableC,cans from powdered milk,,C
recyclableC,cans from seaweeds,please rinse with water,C
bulky garbage,dog houses,please bring to Beautification Center,D
combustible,diapers （paper. cloth）,please dispose of the excrements,D
combustible,dehumidifying and dehydrating chemicals,,D
non-combustible,dry-cell batteries,for Nickel-Cadmium batteries please use vendors collection systems as much as possible ,D
bulky garbage,dressing tables,please bring to Beautification Center,D
combustible,drugs (drinkable),,D
bulky garbage,dehumidifiers （household type）,please empty the tanks and bring to Beautification Center,D
combustible,dehumidifying agents,,D
recyclableA,dictionaries,,D
small electric appliances,desk lamps,please dispose light bulbs as non-combustible garbage,D
combustible,draining boards (sunoko),,D
combustible,detergent containers (paper),,D
plastics,detergent containers （plastic）,,D
combustible,deodorizers,,D
bulky garbage,drums (wooden. plastic),please bring to Beautification Center,D
bulky garbage,dirt,please bring to Beautification Center,D
non-combustible,disposable cigarette lighters,please use up all gas,D
small electric appliances,DVD players. DVD recorders,,D
combustible,DVDs. DVD cases,,D
bulky garbage,dressers,please bring to Beautification Center,D
bulky garbage,drum cans,please empty the contents and bring to Beautification Center,D
small electric appliances,dryers,,D
recyclableB,dictionaries,,D
small electric appliances,earphones,,E
bulky garbage,electric guitars,please bring to Beautification Center,E
bulky garbage,electronic organs,please bring to Beautification Center,E
vendors,engine oil (changed by oneself),please consult car dealers or gas stations,E
small electric appliances,extension cords,,E
combustible,entrance mats,,E
non-combustible,entrance mud mats (metal),,E
small electric appliances,electric chargers,,E
bulky garbage,electric wheel chairs,please bring to Beautification Center,E
small electric appliances,electric fans. air circulators,,E
combustible,egg packs (paper),,E
plastics,egg packs （plastic）,,E
bulky garbage,electric blankets,please bring to Beautification Center,E
non-combustible,electric bulbs,please wrap in paper and cloth,E
bulky garbage,electric carpets,please bring to Beautification Center,E
small electric appliances,electric cauldrons (rice-cookers),please empty the contents,E
small electric appliances,electric heaters,,E
bulky garbage,electric kotatsus (tables with heaters underneath),please bring to Beautification Center,E
small electric appliances,electric pots,,E
small electric appliances,electronic dictionaries. electronic bookreaders,,E
non-combustible,earthenware pots. ceramics,,E
recyclableA,envelopes,nylon from windows to combustible garbage,E
bulky garbage,electric carpets,please bring to Beautification Center,E
small electric appliances,electric griddles,,E
recyclableB,envelopes,nylon from windows to combustible garbage,E
non-combustible,flower pots (ceramic),,F
combustible,flower pots （plastic）,,F
metals,foldable umbrellas,,F
small electric appliances,flashlights,plese remove batteries,F
non-combustible,flower vases (glass. earthenware),please wrap in paper and bag,F
combustible,flowers,please remove soil,F
combustible,footwear,please dispose safety boots and skates as non-combustible garbage,F
