地区,地名,label,収集日,代替日
根上地区,赤井町,燃えるごみ,20190429,
根上地区,赤井町,燃えるごみ,20190506,20190507
根上地区,赤井町,資源ごみA,20190505,20190512
根上地区,赤井町,燃えないごみ,20190502,20190516
根上地区,赤井町,燃えるごみ,20190715,20190716
根上地区,赤井町,燃えるごみ,20190812,20190813
根上地区,赤井町,プラ,20190813,20190814
根上地区,赤井町,燃えるごみ,20190815,
根上地区,赤井町,燃えるごみ,20190916,20190917
根上地区,赤井町,燃えるごみ,20190923,20190924
根上地区,赤井町,プラ,20190924,20190925
根上地区,赤井町,燃えるごみ,20191014,20191015
根上地区,赤井町,燃えるごみ,20191104,20191105
根上地区,赤井町,資源ごみA,20191103,20191110
根上地区,赤井町,燃えるごみ,20200102,
根上地区,赤井町,燃えるごみ,20200113,20200114
根上地区,赤井町,プラ,20200114,20200108
根上地区,赤井町,燃えないごみ,20200102,20200116
根上地区,赤井町,プラ,20200211,20200212
根上地区,赤井町,燃えるごみ,20200224,20200225
根上地区,赤井町,プラ,20200225,20200226
根上地区,五間堂町,燃えるごみ,20190429,
根上地区,五間堂町,燃えるごみ,20190506,20190507
根上地区,五間堂町,資源ごみA,20190505,20190512
根上地区,五間堂町,燃えないごみ,20190502,20190516
根上地区,五間堂町,燃えるごみ,20190715,20190716
根上地区,五間堂町,燃えるごみ,20190812,20190813
根上地区,五間堂町,プラ,20190813,20190814
根上地区,五間堂町,燃えるごみ,20190815,
根上地区,五間堂町,燃えるごみ,20190916,20190917
根上地区,五間堂町,燃えるごみ,20190923,20190924
根上地区,五間堂町,プラ,20190924,20190925
根上地区,五間堂町,燃えるごみ,20191014,20191015
根上地区,五間堂町,燃えるごみ,20191104,20191105
根上地区,五間堂町,資源ごみA,20191103,20191110
根上地区,五間堂町,燃えるごみ,20200102,
根上地区,五間堂町,燃えるごみ,20200113,20200114
根上地区,五間堂町,プラ,20200114,20200108
根上地区,五間堂町,燃えないごみ,20200102,20200116
根上地区,五間堂町,プラ,20200211,20200212
根上地区,五間堂町,燃えるごみ,20200224,20200225
根上地区,五間堂町,プラ,20200225,20200226
根上地区,中庄町,燃えるごみ,20190429,
根上地区,中庄町,燃えるごみ,20190506,20190507
根上地区,中庄町,資源ごみA,20190505,20190512
根上地区,中庄町,燃えないごみ,20190502,20190516
根上地区,中庄町,燃えるごみ,20190715,20190716
根上地区,中庄町,燃えるごみ,20190812,20190813
根上地区,中庄町,プラ,20190813,20190814
根上地区,中庄町,燃えるごみ,20190815,
根上地区,中庄町,燃えるごみ,20190916,20190917
根上地区,中庄町,燃えるごみ,20190923,20190924
根上地区,中庄町,プラ,20190924,20190925
根上地区,中庄町,燃えるごみ,20191014,20191015
根上地区,中庄町,燃えるごみ,20191104,20191105
根上地区,中庄町,資源ごみA,20191103,20191110
根上地区,中庄町,燃えるごみ,20200102,
根上地区,中庄町,燃えるごみ,20200113,20200114
根上地区,中庄町,プラ,20200114,20200108
根上地区,中庄町,燃えないごみ,20200102,20200116
根上地区,中庄町,プラ,20200211,20200212
根上地区,中庄町,燃えるごみ,20200224,20200225
根上地区,中庄町,プラ,20200225,20200226
根上地区,西任田町,燃えるごみ,20190429,
根上地区,西任田町,燃えるごみ,20190506,20190507
根上地区,西任田町,資源ごみA,20190505,20190512
根上地区,西任田町,燃えないごみ,20190502,20190516
根上地区,西任田町,燃えるごみ,20190715,20190716
根上地区,西任田町,燃えるごみ,20190812,20190813
根上地区,西任田町,プラ,20190813,20190814
根上地区,西任田町,燃えるごみ,20190815,
根上地区,西任田町,燃えるごみ,20190916,20190917
根上地区,西任田町,燃えるごみ,20190923,20190924
根上地区,西任田町,プラ,20190924,20190925
根上地区,西任田町,燃えるごみ,20191014,20191015
根上地区,西任田町,燃えるごみ,20191104,20191105
根上地区,西任田町,資源ごみA,20191103,20191110
根上地区,西任田町,燃えるごみ,20200102,
根上地区,西任田町,燃えるごみ,20200113,20200114
根上地区,西任田町,プラ,20200114,20200108
根上地区,西任田町,燃えないごみ,20200102,20200116
根上地区,西任田町,プラ,20200211,20200212
根上地区,西任田町,燃えるごみ,20200224,20200225
根上地区,西任田町,プラ,20200225,20200226
根上地区,福岡町,燃えるごみ,20190429,
根上地区,福岡町,燃えるごみ,20190506,20190507
根上地区,福岡町,資源ごみA,20190505,20190512
根上地区,福岡町,燃えないごみ,20190502,20190516
根上地区,福岡町,燃えるごみ,20190715,20190716
根上地区,福岡町,燃えるごみ,20190812,20190813
根上地区,福岡町,プラ,20190813,20190814
根上地区,福岡町,燃えるごみ,20190815,
根上地区,福岡町,燃えるごみ,20190916,20190917
根上地区,福岡町,燃えるごみ,20190923,20190924
根上地区,福岡町,プラ,20190924,20190925
根上地区,福岡町,燃えるごみ,20191014,20191015
根上地区,福岡町,燃えるごみ,20191104,20191105
根上地区,福岡町,資源ごみA,20191103,20191110
根上地区,福岡町,燃えるごみ,20200102,
根上地区,福岡町,燃えるごみ,20200113,20200114
根上地区,福岡町,プラ,20200114,20200108
根上地区,福岡町,燃えないごみ,20200102,20200116
根上地区,福岡町,プラ,20200211,20200212
根上地区,福岡町,燃えるごみ,20200224,20200225
根上地区,福岡町,プラ,20200225,20200226
根上地区,西二口町,燃えるごみ,20190429,
根上地区,西二口町,燃えるごみ,20190506,20190507
根上地区,西二口町,資源ごみA,20190505,20190512
根上地区,西二口町,燃えないごみ,20190502,20190516
根上地区,西二口町,燃えるごみ,20190715,20190716
